run_dir,method,epoch,round,train_loss,val_loss,phase,client_id,val_rmse,val_mae,is_best_round,best_round,personal_ft_best_epoch
final_fedavg_seed42,fedavg,7,7,,-2.648839961111018,post_agg_val,19.0,4.118002971013387,3.7838311195373535,False,3.0,
final_fedavg_seed42,fedavg,7,7,,-2.1111821822360555,post_agg_val,20.0,6.594764073689778,5.958705425262451,False,3.0,
final_fedavg_seed42,fedavg,8,8,-2.93243046595019,-2.689715177763408,post_agg_val,,3.5069395969383907,3.237512598098893,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.765475484389293,post_agg_val,1.0,3.3694934844970703,3.10068416595459,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.7661194540873297,post_agg_val,2.0,3.367649714152018,2.953096787134806,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.7797617880503336,post_agg_val,3.0,3.2638189792633057,3.0652734438578286,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.8625436029514346,post_agg_val,4.0,2.564378023147583,2.182998458544413,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.867225095317952,post_agg_val,5.0,2.5230844815572104,2.27289601167043,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.643505691956844,post_agg_val,6.0,4.165744304656982,4.034559806187947,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.8921696490429816,post_agg_val,7.0,2.260231892267863,2.0749475161234536,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.3611486191219755,post_agg_val,8.0,5.594059785207112,5.45242436726888,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-1.9485742029936417,post_agg_val,9.0,7.1852060953776045,7.012561639149983,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.979729908794614,post_agg_val,10.0,0.9528144001960754,0.8413935502370199,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.365138347098168,post_agg_val,11.0,5.576499938964844,5.511526266733806,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.8146907446677223,post_agg_val,12.0,2.9890708128611245,2.7005407015482583,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.9320750343906985,post_agg_val,13.0,1.7982083559036257,1.6008828083674114,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.776946128997128,post_agg_val,14.0,3.2936118443806968,2.681678771972656,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.9889740324810723,post_agg_val,15.0,0.7364750703175863,0.6318971316019694,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.8426004587593727,post_agg_val,16.0,2.7553860346476235,2.322847445805868,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.905602190229628,post_agg_val,17.0,2.1058449745178223,1.988393743832906,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.761744764335917,post_agg_val,18.0,3.3937609990437827,3.1124598185221357,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.5965838812093818,post_agg_val,19.0,4.436932881673177,4.097654978434245,False,3.0,
final_fedavg_seed42,fedavg,8,8,,-2.037715100609096,post_agg_val,20.0,6.875155448913574,6.253673394521077,False,3.0,
final_fedavg_seed42,fedavg,9,9,-2.94520895868476,-2.6932024517251283,post_agg_val,,3.4819849446170896,3.214542814065492,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.771253986197685,post_agg_val,1.0,3.327650229136149,3.060136318206787,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.7722098286412344,post_agg_val,2.0,3.3236738046010337,2.905163844426473,False,3.0,
final_fedavg_seed42,fedavg,9,9,,-2.7847906080881755,post_agg_val,3.0,3.226665417353312,3.032759348551432,False,3.0,
