run_dir,method,client_id,n_samples,avg_mae,avg_rmse,mae_h1,rmse_h1,mae_h2,rmse_h2,mae_h3,rmse_h3
final_proposed_seed42,proposed,6,496,2.2456603050231934,2.3503143787384038,1.013798713684082,1.1568351984024048,4.4416375160217285,4.4898362159729,1.2815446853637695,1.4042717218399048
final_proposed_seed42,proposed,7,515,1.9355016152064008,2.156540950139364,2.093020439147949,2.275684118270874,1.9588158130645752,2.2012414932250977,1.7546685934066772,1.9926972389221191
final_proposed_seed42,proposed,8,496,1.3075245420138042,1.5089735786120098,0.8059785962104797,0.9860022664070128,1.7632144689559937,1.973408341407776,1.353380560874939,1.5675101280212402
final_proposed_seed42,proposed,9,504,2.7098535696665444,3.206974665323893,2.833615303039551,3.331061363220215,2.3967173099517822,2.929186582565308,2.899228096008301,3.360676050186157
final_proposed_seed42,proposed,10,443,0.8944137295087179,1.0568734804789226,0.6708889603614807,0.7923150062561035,0.8415822982788086,0.9953850507736206,1.1707699298858645,1.3829203844070437
final_proposed_seed42,proposed,11,513,4.321533123652141,4.377925475438436,4.784759521484375,4.828405857086182,4.448991775512695,4.517974853515625,3.730848073959351,3.787395715713501
final_proposed_seed42,proposed,12,500,2.9579681555430093,3.10695211092631,2.1332671642303467,2.321409225463867,2.545149326324463,2.6893460750579834,4.195487976074219,4.31010103225708
final_proposed_seed42,proposed,13,490,2.5450080235799155,2.8914171059926352,2.5684609413146973,2.921538114547729,2.366762161254883,2.7074553966522217,2.699800968170166,3.045257806777954
final_proposed_seed42,proposed,14,497,1.9216925700505572,2.037719368934632,1.2893844842910769,1.4268399477005005,2.261387348175049,2.360908508300781,2.214305877685547,2.3254096508026123
final_proposed_seed42,proposed,15,408,2.147407412528992,2.333620309829712,1.6029878854751587,1.8649277687072756,2.7769105434417725,2.900274515151977,2.062323808670044,2.235658645629883
final_proposed_seed42,proposed,16,518,0.7893965045611063,0.9842448631922404,0.6384326815605164,0.8050001859664917,0.8051074147224426,1.0083624124526978,0.92464941740036,1.1393719911575315
final_proposed_seed42,proposed,17,460,2.3321433067321777,2.440598448117574,1.7586009502410889,1.9119704961776731,2.7836754322052,2.85483193397522,2.454153537750244,2.554992914199829
